date,baseline_return,theoretical_return
2024-04-02,-0.00029199816670165413,0.1374233128834356
2024-04-11,0.029014730289470672,0.15898959881129257
2024-04-18,-0.011967684678505515,0.1538461538461538
2024-04-25,-0.01351134723943998,0.31857695960260074
2024-05-07,0.01258846939284366,0.1644628099173554
2024-05-14,0.011446067570546458,0.21457489878542518
2024-05-21,0.004863369300151652,0.0816326530612244
2024-05-28,-0.00587757577909384,0.13369713506139164
2024-06-04,-0.011237657904705444,0.13469985358711564
2024-06-12,-0.001987334411507937,0.25064102564102564
2024-06-19,0.010878198548047578,0.061270125223613546
2024-06-26,0.051097134428994065,0.10803757828810022
2024-07-03,0.018359844916736923,0.18418514946962392
2024-07-10,0.008030791018943877,0.2207702888583219
2024-07-17,-0.003080396800379316,0.12944444444444445
2024-07-24,-0.008143062932148126,0.18959616700889811
2024-07-31,-0.017942549641261046,0.0677902621722846
2024-08-07,-0.005350849755161017,0.1792294807370184
2024-08-14,0.02978096110711614,0.10476190476190483
2024-08-21,0.007535902846757088,0.09659931000492855
2024-08-28,-0.0044550285264528715,0.14419538307126123
2024-09-04,-0.016517317415144055,0.09953703703703713
2024-09-11,0.029638907128433128,0.0968253968253968
2024-09-20,0.16918617167837305,0.5394555952708275
2024-09-27,0.04971222452920557,0.38772338772338755
2024-10-11,-0.04177960965286724,0.2162068965517241
2024-10-18,0.02886514013537462,0.22641509433962265
2024-10-25,-0.0126795561318492,0.29844097995545654
2024-11-01,0.24681267481532138,0.625615763546798
2024-11-08,0.010903146866700856,0.21621621621621623
2024-11-15,0.04335953777366191,0.13333333333333333
2024-11-22,0.0464122310307044,0.11622727508157663
2024-11-29,0.003605191524521773,0.11015873015873026
2024-12-06,-0.019117710277704127,0.23457508731082655
2024-12-13,0.02692020184480297,0.20877920943437442
2024-12-20,0.017707783036961244,0.20508744038155807
2024-12-27,-0.1227430834974923,0.08473130508956486
2025-01-06,-0.008652524241174096,0.27757575757575764
2025-01-13,0.01094215269899327,0.27431277431277445
2025-01-20,-0.00036464820530448226,0.15649452269170575
2025-01-27,0.02006265609837185,0.5340909090909091
2025-02-11,-0.004941946369025177,4.846706532374101
2025-02-18,0.03570414996951245,0.24106986586898754
2025-02-25,-0.017771315246805607,0.12044340225964616
2025-03-04,0.036961472585898186,0.25833333333333336
2025-03-11,0.021317300325778304,0.3064788732394365
2025-03-18,0.014654990125189794,0.056390977443609054
2025-03-25,-0.03151273239976839,0.14028507126781692
2025-04-01,-0.002195718841053883,0.1803628601921024
2025-04-09,-0.018400109974313558,0.1810657009829281
2025-04-16,0.0077713473457713565,0.17816091954022986
2025-04-23,0.006091173937365816,0.10234578627280638
2025-04-30,0.007284854703635045,0.315345699831366
2025-05-12,0.006202981422329564,0.09466666666666661
2025-05-19,-0.006855150440447045,0.21800643086816704
2025-05-26,0.002212614265628268,0.11871493780271092
2025-06-03,0.0020360084051850615,0.1745348837209303
2025-06-10,0.012719256632497414,0.2873472930786668
2025-06-17,0.02866779225643915,0.09920000000000001
2025-06-24,0.016311946036792563,0.23498933252057294
2025-07-01,0.015294877023178286,0.17358490566037746
2025-07-08,0.03958569254392031,0.20522088353413653
2025-07-15,0.026583857250953854,0.25611175785797435
2025-07-22,0.08412884758473035,0.2109442202077681
2025-07-29,0.004374352752805388,0.11597084161696487
2025-08-05,0.053546342443396976,0.18469656992084438
2025-08-12,0.07782069893799502,0.3206900246437374
2025-08-19,0.12075510152463478,0.4237428133592722
2025-08-26,0.2376391060019299,0.47287345449631796
2025-09-02,-0.07727896526646993,0.3120146185472819
2025-09-09,0.10090002774111637,0.31300835810848715
2025-09-16,0.0868344082264832,0.2739882196465894
2025-09-23,-0.006958538016564184,0.2295081967213115
2025-09-30,-0.12616820171094195,0.1869918699186992
2025-10-15,0.10575734629875141,0.2419262972033945
2025-10-22,0.1529692450216034,0.23834963722340544
2025-10-29,-0.12912565123299657,0.20396600566572246
2025-11-05,-0.03298241210917409,0.19415276919909405
2025-11-12,-0.04852705581110439,0.1298388590479719
2025-11-19,-0.059157575861703476,0.0895165150789851
2025-11-26,-0.008723117754410033,0.1475308641975309
2025-12-03,0.043243657497974264,0.40204489364202606
2025-12-10,-0.03260478223363545,0.07889546351084811
2025-12-17,-1.260978297469486e-05,0.1466850828729282
2025-12-24,0.009299038355522619,0.31377343113284434
2025-12-31,0.015159427283465237,0.22776868521549365
2026-01-09,-0.004809205903188282,0.18167821401077747
2026-01-16,-0.007122886642148045,0.2828547763666484
2026-01-23,-0.0032508920881936677,0.20547945205479443
2026-01-30,0.013299926678437412,0.18720748829953202
2026-02-06,-0.00775335963722162,0.23880597014925375
2026-02-13,-0.023846035655179457,0.3049962714392246
2026-03-02,-0.00426075193417004,0.18240516545601293
2026-03-09,0.016183813094997168,0.2588832487309645
2026-03-16,-0.008001672603112759,0.11980592187111225
