date,return
2024-04-02,-0.0011807165731606531
2024-04-11,0.026543431332185195
2024-04-18,-0.008056024562465838
2024-04-25,-0.01423321213823113
2024-05-07,0.004251382574246925
2024-05-14,0.012457770947192564
2024-05-21,0.005297344015976303
2024-05-28,-0.013966182806331977
2024-06-04,-0.0077597897453553725
2024-06-12,-0.012283885250909817
2024-06-19,0.012132907504178315
2024-06-26,0.051097134428994065
2024-07-03,0.005420365255054491
2024-07-10,0.02819039135050421
2024-07-17,0.00825733953735701
2024-07-24,-0.012519681340792165
2024-07-31,-0.007577992441605876
2024-08-07,0.017386117625962528
2024-08-14,0.04271187896679882
2024-08-21,0.027043114880105013
2024-08-28,-0.10381573042051462
2024-09-04,-0.000551900239529017
2024-09-11,0.01320449991653061
2024-09-20,0.10776295359848503
2024-09-27,0.03629646669173482
2024-10-11,0.007506411391159498
2024-10-18,-0.012935378791923897
2024-10-25,-0.021871313375248114
2024-11-01,0.01016659072100752
2024-11-08,-0.0028875863077165395
2024-11-15,0.004196074987302911
2024-11-22,0.002323044396910199
2024-11-29,0.020787681840950693
2024-12-06,0.0017976264772604227
2024-12-13,0.009496961458098429
2024-12-20,0.033255829922728936
2024-12-27,-0.023130085998858657
2025-01-06,0.002980150866435381
2025-01-13,0.013659812744688055
2025-01-20,0.013465906853886163
2025-01-27,-0.029751387685498894
2025-02-11,0.009561682247855415
2025-02-18,-0.02899449016683843
2025-02-25,0.006953564999529439
2025-03-04,-0.0065877502734362735
2025-03-11,0.015156953699776824
2025-03-18,0.003008315633431971
2025-03-25,-0.012002099371979847
2025-04-01,-0.03438161002393987
2025-04-09,0.04449760467044112
2025-04-16,0.019755193355465772
2025-04-23,0.020096984353978945
2025-04-30,0.028837245001843495
2025-05-12,0.012377820979670925
2025-05-19,0.0028848773967956936
2025-05-26,0.003665591511382238
2025-06-03,-0.0034263206792408294
2025-06-10,0.01451762381999345
2025-06-17,0.0370678123377557
2025-06-24,-0.0111355113794602
2025-07-01,0.02799263060277461
2025-07-08,0.012612096504430447
2025-07-15,-0.010104100117473674
2025-07-22,-0.00026850090781387927
2025-07-29,0.01616187771089655
2025-08-05,-0.00029894465457729665
2025-08-12,-0.019126310947329726
2025-08-19,0.016149172542167797
2025-08-26,-0.021465734079320033
2025-09-02,-0.013276077508075277
2025-09-09,-0.009423048734930843
2025-09-16,-0.04692353710545263
2025-09-23,-0.01522479041056736
2025-09-30,0.028106406502924525
2025-10-15,0.024569649498973375
2025-10-22,0.019875480973278865
2025-10-29,0.013236635582329608
2025-11-05,0.006447239598795669
2025-11-12,-0.019283271631705134
2025-11-19,0.02191912615314065
2025-11-26,-0.0052012900551703005
2025-12-03,-0.009558252893153693
2025-12-10,-0.003501528944733147
2025-12-17,0.008972130189514234
2025-12-24,-0.0003231513297284577
2025-12-31,-0.0013750413644964695
2026-01-09,-0.00416530644077754
2026-01-16,-0.005655859274362969
2026-01-23,0.016440086449592977
2026-01-30,0.022033078040107647
2026-02-06,0.0018192609089063205
2026-02-13,-0.011588365334690908
2026-03-02,-0.004133493428269658
2026-03-09,0.014423374233376817
2026-03-16,-0.016146019699803924
2026-03-23,0.03093631123557237
2026-03-30,-0.012138921166198111
